"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
1010101008,"MY01 BRL  Rec. A Depositar","MY01 BRL  Rec. A Depositar","Asset",,,"No",,1010101,1010101008,"MY01 BRL  Rec. A Depositar",,,,,,,,
1010101009,"MY01 ARS  Rec. A Depositar","MY01 ARS  Rec. A Depositar","Asset",,,"No",,1010101,1010101009,"MY01 ARS  Rec. A Depositar",,,,,,,,
1010101010,"MY01 EUR  Rec. A Depositar","MY01 EUR  Rec. A Depositar","Asset",,,"No",,1010101,1010101010,"MY01 EUR  Rec. A Depositar",,,,,,,,
1010101011,"MY02 USD  Rec. A Depositar","MY02 USD  Rec. A Depositar","Asset",,,"No",,1010101,1010101011,"MY02 USD  Rec. A Depositar",,,,,,,,
1010101012,"MY02 PYG  Rec. A Depositar","MY02 PYG  Rec. A Depositar","Asset",,,"No",,1010101,1010101012,"MY02 PYG  Rec. A Depositar",,,,,,,,
1010101013,"MY02 BRL  Rec. A Depositar","MY02 BRL  Rec. A Depositar","Asset",,,"No",,1010101,1010101013,"MY02 BRL  Rec. A Depositar",,,,,,,,
1010101014,"MY02 ARS  Rec. A Depositar","MY02 ARS  Rec. A Depositar","Asset",,,"No",,1010101,1010101014,"MY02 ARS  Rec. A Depositar",,,,,,,,
1010101015,"MY02 EUR  Rec. A Depositar","MY02 EUR  Rec. A Depositar","Asset",,,"No",,1010101,1010101015,"MY02 EUR  Rec. A Depositar",,,,,,,,
1010101016,"MY03 USD  Rec. A Depositar","MY03 USD  Rec. A Depositar","Asset",,,"No",,1010101,1010101016,"MY03 USD  Rec. A Depositar",,,,,,,,
1010101017,"MY03 PYG  Rec. A Depositar","MY03 PYG  Rec. A Depositar","Asset",,,"No",,1010101,1010101017,"MY03 PYG  Rec. A Depositar",,,,,,,,
1010101018,"MY03 BRL  Rec. A Depositar","MY03 BRL  Rec. A Depositar","Asset",,,"No",,1010101,1010101018,"MY03 BRL  Rec. A Depositar",,,,,,,,
1010101019,"MY03 ARS  Rec. A Depositar","MY03 ARS  Rec. A Depositar","Asset",,,"No",,1010101,1010101019,"MY03 ARS  Rec. A Depositar",,,,,,,,
1010101020,"MY03 EUR  Rec. A Depositar","MY03 EUR  Rec. A Depositar","Asset",,,"No",,1010101,1010101020,"MY03 EUR  Rec. A Depositar",,,,,,,,
1010101021,"MY04 USD  Rec. A Depositar","MY04 USD  Rec. A Depositar","Asset",,,"No",,1010101,1010101021,"MY04 USD  Rec. A Depositar",,,,,,,,
1010101022,"MY04 PYG  Rec. A Depositar","MY04 PYG  Rec. A Depositar","Asset",,,"No",,1010101,1010101022,"MY04 PYG  Rec. A Depositar",,,,,,,,
1010101023,"MY04 BRL  Rec. A Depositar","MY04 BRL  Rec. A Depositar","Asset",,,"No",,1010101,1010101023,"MY04 BRL  Rec. A Depositar",,,,,,,,
1010101024,"MY04 ARS  Rec. A Depositar","MY04 ARS  Rec. A Depositar","Asset",,,"No",,1010101,1010101024,"MY04 ARS  Rec. A Depositar",,,,,,,,
1010101025,"MY04 EUR  Rec. A Depositar","MY04 EUR  Rec. A Depositar","Asset",,,"No",,1010101,1010101025,"MY04 EUR  Rec. A Depositar",,,,,,,,
1010102,"CAJA",,"Asset",,,"Yes",,10101,1010102,"CAJA",,,,,,,,
101010201,"USD Cobranza","USD Cobranza","Asset",,,"No",,1010102,101010201,"USD Cobranza",,,,,,,,
101010202,"PYG Cobranza","PYG Cobranza","Asset",,,"No",,1010102,101010202,"PYG Cobranza",,,,,,,,
101010203,"BRL Cobranza","BRL Cobranza","Asset",,,"No",,1010102,101010203,"BRL Cobranza",,,,,,,,
101010204,"EUR Cobranza","EUR Cobranza","Asset",,,"No",,1010102,101010204,"EUR Cobranza",,,,,,,,
101010205,"ARS Cobranza","ARS Cobranza","Asset",,,"No",,1010102,101010205,"ARS Cobranza",,,,,,,,
1010103,"FONDOS FIJOS ",,"Asset",,,"Yes",,10101,1010103,"FONDOS FIJOS ",,,,,,,,
1010103001,"CD USD Fondo Fijo","CD USD Fondo Fijo","Asset",,,"No",,1010103,1010103001,"CD USD Fondo Fijo",,,,,,,,
1010103002,"CD PYG Fondo Fijo","CD PYG Fondo Fijo","Asset",,,"No",,1010103,1010103002,"CD PYG Fondo Fijo",,,,,,,,
1010103003,"CD BRL Fondo Fijo","CD BRL Fondo Fijo","Asset",,,"No",,1010103,1010103003,"CD BRL Fondo Fijo",,,,,,,,
1010103004,"CD ARS Fondo Fijo","CD ARS Fondo Fijo","Asset",,,"No",,1010103,1010103004,"CD ARS Fondo Fijo",,,,,,,,
1010103005,"CD EUR Fondo Fijo","CD EUR Fondo Fijo","Asset",,,"No",,1010103,1010103005,"CD EUR Fondo Fijo",,,,,,,,
1010103006,"MY01 USD Fondo Fijo","MY01 USD Fondo Fijo","Asset",,,"No",,1010103,1010103006,"MY01 USD Fondo Fijo",,,,,,,,
1010103007,"MY01 PYG Fondo Fijo","MY01 PYG Fondo Fijo","Asset",,,"No",,1010103,1010103007,"MY01 PYG Fondo Fijo",,,,,,,,
1010103008,"MY01 BRL Fondo Fijo","MY01 BRL Fondo Fijo","Asset",,,"No",,1010103,1010103008,"MY01 BRL Fondo Fijo",,,,,,,,
1010103009,"MY01 ARS Fondo Fijo","MY01 ARS Fondo Fijo","Asset",,,"No",,1010103,1010103009,"MY01 ARS Fondo Fijo",,,,,,,,
1010103010,"MY01 EUR Fondo Fijo","MY01 EUR Fondo Fijo","Asset",,,"No",,1010103,1010103010,"MY01 EUR Fondo Fijo",,,,,,,,
1010103011,"MY02 USD Fondo Fijo","MY02 USD Fondo Fijo","Asset",,,"No",,1010103,1010103011,"MY02 USD Fondo Fijo",,,,,,,,
1010103012,"MY02 PYG Fondo Fijo","MY02 PYG Fondo Fijo","Asset",,,"No",,1010103,1010103012,"MY02 PYG Fondo Fijo",,,,,,,,
1010103013,"MY02 BRL Fondo Fijo","MY02 BRL Fondo Fijo","Asset",,,"No",,1010103,1010103013,"MY02 BRL Fondo Fijo",,,,,,,,
1010103014,"MY02 ARS Fondo Fijo","MY02 ARS Fondo Fijo","Asset",,,"No",,1010103,1010103014,"MY02 ARS Fondo Fijo",,,,,,,,
1010103015,"MY02 EUR Fondo Fijo","MY02 EUR Fondo Fijo","Asset",,,"No",,1010103,1010103015,"MY02 EUR Fondo Fijo",,,,,,,,
1010103016,"MY03 USD Fondo Fijo","MY03 USD Fondo Fijo","Asset",,,"No",,1010103,1010103016,"MY03 USD Fondo Fijo",,,,,,,,
1010103017,"MY03 PYG Fondo Fijo","MY03 PYG Fondo Fijo","Asset",,,"No",,1010103,1010103017,"MY03 PYG Fondo Fijo",,,,,,,,
1010103018,"MY03 BRL Fondo Fijo","MY03 BRL Fondo Fijo","Asset",,,"No",,1010103,1010103018,"MY03 BRL Fondo Fijo",,,,,,,,
1010103019,"MY03 ARS Fondo Fijo","MY03 ARS Fondo Fijo","Asset",,,"No",,1010103,1010103019,"MY03 ARS Fondo Fijo",,,,,,,,
1010103020,"MY03 EUR Fondo Fijo","MY03 EUR Fondo Fijo","Asset",,,"No",,1010103,1010103020,"MY03 EUR Fondo Fijo",,,,,,,,
1010103021,"MY04 USD Fondo Fijo","MY04 USD Fondo Fijo","Asset",,,"No",,1010103,1010103021,"MY04 USD Fondo Fijo",,,,,,,,
1010103022,"MY04 PYG Fondo Fijo","MY04 PYG Fondo Fijo","Asset",,,"No",,1010103,1010103022,"MY04 PYG Fondo Fijo",,,,,,,,
1010103023,"MY04 BRL Fondo Fijo","MY04 BRL Fondo Fijo","Asset",,,"No",,1010103,1010103023,"MY04 BRL Fondo Fijo",,,,,,,,
1010103024,"MY04 ARS Fondo Fijo","MY04 ARS Fondo Fijo","Asset",,,"No",,1010103,1010103024,"MY04 ARS Fondo Fijo",,,,,,,,
1010103025,"MY04 EUR Fondo Fijo","MY04 EUR Fondo Fijo","Asset",,,"No",,1010103,1010103025,"MY04 EUR Fondo Fijo",,,,,,,,
101010310,"Fondo Caja para Proveedores del Exterior","Fondo Fijo","Asset",,,"No",,1010103,101010310,"Fondo Caja para Proveedores del Exterior",,,,,,,,
101010311,"Fondo Caja para Pago de Dividendos","Fondo Fijo","Asset",,,"No",,1010103,101010311,"Fondo Caja para Pago de Dividendos",,,,,,,,
1010104,"BANCOS",,"Asset",,,"Yes",,10101,1010104,"BANCOS",,,,,,,,
101010401,"Cuentas Transitorias de Bancos",,"Asset",,,"Yes",,1010104,101010401,"Cuentas Transitorias de Bancos",,,,,,,,
10101040101,"Cuentas de cheques","Activo en Banco","Asset",,"Yes","No","B_ASSET_ACCT",101010401,10101040101,"Cuentas de cheques",,,,,,,,
10101040102,"Cheques en Tránsito","Transacciones bancarias en tránsito","Asset",,"Yes","No","B_INTRANSIT_ACCT",101010401,10101040102,"Cheques en Tránsito",,,,,,,,
10101040103,"Cheques recibidos no Identificados","ingresos de clientes no identificados","Asset",,"Yes","No","B_UNIDENTIFIED_ACCT",101010401,10101040103,"Cheques recibidos no Identificados",,,,,,,,
10101040104,"Cheques recibidos no destinados","Pagos no asignados","Asset",,"Yes","No","B_UNALLOCATEDCASH_ACCT",101010401,10101040104,"Cheques recibidos no destinados",,,,,,,,
101010402,"USD Cuentas Bancarias",,"Asset",,,"Yes",,1010104,101010402,"USD Cuentas Bancarias",,,,,,,,
10101040201,"USD 1701002639 BANCO BBVA","USD 1701002639 BANCO BBVA","Asset",,,"No",,101010402,10101040201,"USD 1701002639 BANCO BBVA",,,,,,,,
10101040202,"USD 877616 BANCO ATLAS","USD 877616 BANCO ATLAS","Asset",,,"No",,101010402,10101040202,"USD 877616 BANCO ATLAS",,,,,,,,
101010403,"PYG Cuentas Bancarias",,"Asset",,,"Yes",,1010104,101010403,"PYG Cuentas Bancarias",,,,,,,,
10101040301,"PYG 1702006760 BANCO BBVA","PYG 1702006760 BANCO BBVA","Asset",,,"No",,101010403,10101040301,"PYG 1702006760 BANCO BBVA",,,,,,,,
10101040302,"PYG 1061335 BANCO ATLAS","PYG 1061335 BANCO ATLAS","Asset",,,"No",,101010403,10101040302,"PYG 1061335 BANCO ATLAS",,,,,,,,
1010105,"CAJA EN EFECTIVO",,"Asset",,,"Yes",,10101,1010105,"CAJA EN EFECTIVO",,,,,,,,
101010501,"Caja en Efectivo","Activo de Libro Caja","Asset",,"Yes","No","CB_ASSET_ACCT",1010105,101010501,"Caja en Efectivo",,,,,,,,
1010106,"CAJA EN EFECTIVO EN TRANSFERENCIA",,"Asset",,,"Yes",,10101,1010106,"CAJA EN EFECTIVO EN TRANSFERENCIA",,,,,,,,
101010601,"Caja en Efectivo en Transferencia","Activo Libro Caja en Transferencia","Asset",,"Yes","No","CB_CASHTRANSFER_ACCT",1010106,101010601,"Caja en Efectivo en Transferencia",,,,,,,,
1010107,"OTROS VALORES DE CAJA",,"Asset",,,"Yes",,10101,1010107,"OTROS VALORES DE CAJA",,,,,,,,
1010107001,"CD Interventajas","CD Interventajas","Asset",,,"No",,1010107,1010107001,"CD Interventajas",,,,,,,,
1010107002,"CD Promo Itau","CD Promo Itau","Asset",,,"No",,1010107,1010107002,"CD Promo Itau",,,,,,,,
1010107003,"CD Vale de Viatico","CD Vale de Viatico","Asset",,,"No",,1010107,1010107003,"CD Vale de Viatico",,,,,,,,
1010107004,"CD Gift Card","CD Gift Card","Asset",,,"No",,1010107,1010107004,"CD Gift Card",,,,,,,,
1010107005,"CD Vale de Clientes","CD Vale de Clientes","Asset",,,"No",,1010107,1010107005,"CD Vale de Clientes",,,,,,,,
1010107006,"CD Vale de Directorio","CD Vale de Directorio","Asset",,,"No",,1010107,1010107006,"CD Vale de Directorio",,,,,,,,
1010107007,"CD Cheques del Paseo","CD Cheques del Paseo","Asset",,,"No",,1010107,1010107007,"CD Cheques del Paseo",,,,,,,,
1010107008,"CD USD Cheques al Dia","CD USD Cheques al Dia","Asset",,,"No",,1010107,1010107008,"CD USD Cheques al Dia",,,,,,,,
1010107009,"CD USD Chq. Adelantados","CD USD Chq. Adelantados","Asset",,,"No",,1010107,1010107009,"CD USD Chq. Adelantados",,,,,,,,
1010107010,"CD PYG Cheques al Dia","CD PYG Cheques al Dia","Asset",,,"No",,1010107,1010107010,"CD PYG Cheques al Dia",,,,,,,,
1010107011,"CD PYG Chq. Adelantados","CD PYG Chq. Adelantados","Asset",,,"No",,1010107,1010107011,"CD PYG Chq. Adelantados",,,,,,,,
1010107012,"CD BRL Cheques al Dia","CD BRL Cheques al Dia","Asset",,,"No",,1010107,1010107012,"CD BRL Cheques al Dia",,,,,,,,
1010107013,"CD BRL Chq. Adelantados","CD BRL Chq. Adelantados","Asset",,,"No",,1010107,1010107013,"CD BRL Chq. Adelantados",,,,,,,,
1010107021,"MY01 Interventajas","MY01 Interventajas","Asset",,,"No",,1010107,1010107021,"MY01 Interventajas",,,,,,,,
1010107022,"MY01 Promo Itau","MY01 Promo Itau","Asset",,,"No",,1010107,1010107022,"MY01 Promo Itau",,,,,,,,
1010107023,"MY01 Vale de Viatico","MY01 Vale de Viatico","Asset",,,"No",,1010107,1010107023,"MY01 Vale de Viatico",,,,,,,,
1010107024,"MY01 Gift Card","MY01 Gift Card","Asset",,,"No",,1010107,1010107024,"MY01 Gift Card",,,,,,,,
1010107025,"MY01 Vale de Clientes","MY01 Vale de Clientes","Asset",,,"No",,1010107,1010107025,"MY01 Vale de Clientes",,,,,,,,
1010107026,"MY01 Vale de Directorio","MY01 Vale de Directorio","Asset",,,"No",,1010107,1010107026,"MY01 Vale de Directorio",,,,,,,,
1010107027,"MY01 Cheques del Paseo","MY01 Cheques del Paseo","Asset",,,"No",,1010107,1010107027,"MY01 Cheques del Paseo",,,,,,,,
1010107028,"MY01 USD Cheques al Dia","MY01 USD Cheques al Dia","Asset",,,"No",,1010107,1010107028,"MY01 USD Cheques al Dia",,,,,,,,
1010107029,"MY01 USD Chq. Adelantados","MY01 USD Chq. Adelantados","Asset",,,"No",,1010107,1010107029,"MY01 USD Chq. Adelantados",,,,,,,,
1010107030,"MY01 PYG Cheques al Dia","MY01 PYG Cheques al Dia","Asset",,,"No",,1010107,1010107030,"MY01 PYG Cheques al Dia",,,,,,,,
1010107031,"MY01 PYG Chq. Adelantados","MY01 PYG Chq. Adelantados","Asset",,,"No",,1010107,1010107031,"MY01 PYG Chq. Adelantados",,,,,,,,
1010107032,"MY01 BRL Cheques al Dia","MY01 BRL Cheques al Dia","Asset",,,"No",,1010107,1010107032,"MY01 BRL Cheques al Dia",,,,,,,,
1010107033,"MY01 BRL Chq. Adelantados","MY01 BRL Chq. Adelantados","Asset",,,"No",,1010107,1010107033,"MY01 BRL Chq. Adelantados",,,,,,,,
1010107041,"MY02 Interventajas","MY02 Interventajas","Asset",,,"No",,1010107,1010107041,"MY02 Interventajas",,,,,,,,
1010107042,"MY02 Promo Itau","MY02 Promo Itau","Asset",,,"No",,1010107,1010107042,"MY02 Promo Itau",,,,,,,,
1010107043,"MY02 Vale de Viatico","MY02 Vale de Viatico","Asset",,,"No",,1010107,1010107043,"MY02 Vale de Viatico",,,,,,,,
1010107044,"MY02 Gift Card","MY02 Gift Card","Asset",,,"No",,1010107,1010107044,"MY02 Gift Card",,,,,,,,
1010107045,"MY02 Vale de Clientes","MY02 Vale de Clientes","Asset",,,"No",,1010107,1010107045,"MY02 Vale de Clientes",,,,,,,,
1010107046,"MY02 Vale de Directorio","MY02 Vale de Directorio","Asset",,,"No",,1010107,1010107046,"MY02 Vale de Directorio",,,,,,,,
1010107047,"MY02 Cheques del Paseo","MY02 Cheques del Paseo","Asset",,,"No",,1010107,1010107047,"MY02 Cheques del Paseo",,,,,,,,
1010107048,"MY02 USD Cheques al Dia","MY02 USD Cheques al Dia","Asset",,,"No",,1010107,1010107048,"MY02 USD Cheques al Dia",,,,,,,,
1010107049,"MY02 USD Chq. Adelantados","MY02 USD Chq. Adelantados","Asset",,,"No",,1010107,1010107049,"MY02 USD Chq. Adelantados",,,,,,,,
1010107050,"MY02 PYG Cheques al Dia","MY02 PYG Cheques al Dia","Asset",,,"No",,1010107,1010107050,"MY02 PYG Cheques al Dia",,,,,,,,
1010107051,"MY02 PYG Chq. Adelantados","MY02 PYG Chq. Adelantados","Asset",,,"No",,1010107,1010107051,"MY02 PYG Chq. Adelantados",,,,,,,,
1010107052,"MY02 BRL Cheques al Dia","MY02 BRL Cheques al Dia","Asset",,,"No",,1010107,1010107052,"MY02 BRL Cheques al Dia",,,,,,,,
1010107053,"MY02 BRL Chq. Adelantados","MY02 BRL Chq. Adelantados","Asset",,,"No",,1010107,1010107053,"MY02 BRL Chq. Adelantados",,,,,,,,
1010107061,"MY03 Interventajas","MY03 Interventajas","Asset",,,"No",,1010107,1010107061,"MY03 Interventajas",,,,,,,,
1010107062,"MY03 Promo Itau","MY03 Promo Itau","Asset",,,"No",,1010107,1010107062,"MY03 Promo Itau",,,,,,,,
1010107063,"MY03 Vale de Viatico","MY03 Vale de Viatico","Asset",,,"No",,1010107,1010107063,"MY03 Vale de Viatico",,,,,,,,
1010107064,"MY03 Gift Card","MY03 Gift Card","Asset",,,"No",,1010107,1010107064,"MY03 Gift Card",,,,,,,,
1010107065,"MY03 Vale de Clientes","MY03 Vale de Clientes","Asset",,,"No",,1010107,1010107065,"MY03 Vale de Clientes",,,,,,,,
1010107066,"MY03 Vale de Directorio","MY03 Vale de Directorio","Asset",,,"No",,1010107,1010107066,"MY03 Vale de Directorio",,,,,,,,
1010107067,"MY03 Cheques del Paseo","MY03 Cheques del Paseo","Asset",,,"No",,1010107,1010107067,"MY03 Cheques del Paseo",,,,,,,,
1010107068,"MY03 USD Cheques al Dia","MY03 USD Cheques al Dia","Asset",,,"No",,1010107,1010107068,"MY03 USD Cheques al Dia",,,,,,,,
1010107069,"MY03 USD Chq. Adelantados","MY03 USD Chq. Adelantados","Asset",,,"No",,1010107,1010107069,"MY03 USD Chq. Adelantados",,,,,,,,
1010107070,"MY03 PYG Cheques al Dia","MY03 PYG Cheques al Dia","Asset",,,"No",,1010107,1010107070,"MY03 PYG Cheques al Dia",,,,,,,,
1010107071,"MY03 PYG Chq. Adelantados","MY03 PYG Chq. Adelantados","Asset",,,"No",,1010107,1010107071,"MY03 PYG Chq. Adelantados",,,,,,,,
1010107072,"MY03 BRL Cheques al Dia","MY03 BRL Cheques al Dia","Asset",,,"No",,1010107,1010107072,"MY03 BRL Cheques al Dia",,,,,,,,
1010107073,"MY03 BRL Chq. Adelantados","MY03 BRL Chq. Adelantados","Asset",,,"No",,1010107,1010107073,"MY03 BRL Chq. Adelantados",,,,,,,,
1010107061,"MY04 Interventajas","MY04 Interventajas","Asset",,,"No",,1010107,1010107061,"MY04 Interventajas",,,,,,,,
1010107062,"MY04 Promo Itau","MY04 Promo Itau","Asset",,,"No",,1010107,1010107062,"MY04 Promo Itau",,,,,,,,
1010107063,"MY04 Vale de Viatico","MY04 Vale de Viatico","Asset",,,"No",,1010107,1010107063,"MY04 Vale de Viatico",,,,,,,,
1010107064,"MY04 Gift Card","MY04 Gift Card","Asset",,,"No",,1010107,1010107064,"MY04 Gift Card",,,,,,,,
1010107065,"MY04 Vale de Clientes","MY04 Vale de Clientes","Asset",,,"No",,1010107,1010107065,"MY04 Vale de Clientes",,,,,,,,
1010107066,"MY04 Vale de Directorio","MY04 Vale de Directorio","Asset",,,"No",,1010107,1010107066,"MY04 Vale de Directorio",,,,,,,,
1010107067,"MY04 Cheques del Paseo","MY04 Cheques del Paseo","Asset",,,"No",,1010107,1010107067,"MY04 Cheques del Paseo",,,,,,,,
1010107068,"MY04 USD Cheques al Dia","MY04 USD Cheques al Dia","Asset",,,"No",,1010107,1010107068,"MY04 USD Cheques al Dia",,,,,,,,
1010107069,"MY04 USD Chq. Adelantados","MY04 USD Chq. Adelantados","Asset",,,"No",,1010107,1010107069,"MY04 USD Chq. Adelantados",,,,,,,,
1010107070,"MY04 PYG Cheques al Dia","MY04 PYG Cheques al Dia","Asset",,,"No",,1010107,1010107070,"MY04 PYG Cheques al Dia",,,,,,,,
1010107071,"MY04 PYG Chq. Adelantados","MY04 PYG Chq. Adelantados","Asset",,,"No",,1010107,1010107071,"MY04 PYG Chq. Adelantados",,,,,,,,
1010107072,"MY04 BRL Cheques al Dia","MY04 BRL Cheques al Dia","Asset",,,"No",,1010107,1010107072,"MY04 BRL Cheques al Dia",,,,,,,,
1010107073,"MY04 BRL Chq. Adelantados","MY04 BRL Chq. Adelantados","Asset",,,"No",,1010107,1010107073,"MY04 BRL Chq. Adelantados",,,,,,,,
10102,"INVERSIONES TEMPORARIAS",,"Asset",,,"Yes",,101,10102,"INVERSIONES TEMPORARIAS",,,,,,,,
1010201,"INVERSIONES FINANCIERAS",,"Asset",,,"Yes",,10102,1010201,"INVERSIONES FINANCIERAS",,,,,,,,
101020101,"Valores - CDA","CDA adquiridos","Asset",,,"No",,1010201,101020101,"Valores - CDA",,,,,,,,
1010202,"INVERSIONES EN ENTIDADES VINCULADAS",,"Asset",,,"Yes",,10102,1010202,"INVERSIONES EN ENTIDADES VINCULADAS",,,,,,,,
1010203,"OTRAS INVERSIONES",,"Asset",,,"Yes",,10102,1010203,"OTRAS INVERSIONES",,,,,,,,
1010204,"INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES",,"Asset",,,"Yes",,10102,1010204,"INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES",,,,,,,,
101020401,"Intereses a Cobrar - CDA","Intereses a cobrar CDA","Asset",,,"No",,1010204,101020401,"Intereses a Cobrar - CDA",,,,,,,,
10103,"CRÉDITOS ",,"Asset",,,"Yes",,101,10103,"CRÉDITOS ",,,,,,,,
1010301,"DEUDORES POR VENTAS",,"Asset",,,"Yes",,10103,1010301,"DEUDORES POR VENTAS",,,,,,,,
101030101,"Clientes ","Ventas a Clientes","Asset",,"Yes","No","C_RECEIVABLE_ACCT",1010301,101030101,"Clientes ",,,,,,,,
101030102,"Créditos por Servicios","Ventas a Clientes por Servicios","Asset",,"Yes","No","C_RECEIVABLE_SERVICES_ACCT",1010301,101030102,"Créditos por Servicios",,,,,,,,
101030103,"Créditos Comerciales no Facturados","Ventas no facturadas","Asset",,"Yes","No","NOTINVOICEDRECEIVABLES_ACCT",1010301,101030103,"Créditos Comerciales no Facturados",,,,,,,,
1010302,"DEUDORES POR PRÉSTAMOS",,"Asset",,,"Yes",,10103,1010302,"DEUDORES POR PRÉSTAMOS",,,,,,,,
101030201,"Documentos a Cobrar","Ventas con pagaré","Asset",,,"No",,1010302,101030201,"Documentos a Cobrar",,,,,,,,
101030202,"Intereses a Cobrar sobre Pagaré","Intereses a cobrar pagaré","Asset",,,"No",,1010302,101030202,"Intereses a Cobrar sobre Pagaré",,,,,,,,
1010303,"CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS ",,"Asset",,,"Yes",,10103,1010303,"CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS ",,,,,,,,
101030301,"Anticipos para Gastos Futuros","Compras pendientes de documentar","Asset",,,"No",,1010303,101030301,"Anticipos para Gastos Futuros",,,,,,,,
101030302,"Prestamos a Empleados","Préstamos otorgados a empleados","Asset",,,"No",,1010303,101030302,"Prestamos a Empleados",,,,,,,,
101030303,"Prestamos a Directores","Préstamos otorgados a directores","Asset",,,"No",,1010303,101030303,"Prestamos a Directores",,,,,,,,
101030304,"Anticipo de Utilidades","Anticipo retirado a cuenta de utilidades","Asset",,,"No",,1010303,101030304,"Anticipo de Utilidades",,,,,,,,
1010304,"CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS",,"Asset",,,"Yes",,10103,1010304,"CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS",,,,,,,,
101030401,"Prestamos a Accionistas","Préstamos otorgados a accionistas","Asset",,,"No",,1010304,101030401,"Prestamos a Accionistas",,,,,,,,
1010305,"CRÉDITOS POR IMPUESTOS CORRIENTES",,"Asset",,,"Yes",,10103,1010305,"CRÉDITOS POR IMPUESTOS CORRIENTES",,,,,,,,
101030500,"Cuentas Transitorias de Impuestos",,"Asset",,,"Yes",,1010305,101030500,"Cuentas Transitorias de Impuestos",,,,,,,,
10103050000,"Impuestos a Reembolsar","Impuestos a reembolsar antes de declaración","Asset",,"Yes","No","T_CREDIT_ACCT",101030501,10103050000,"Impuestos a Reembolsar",,,,,,,,
10103050001,"Impuestos Reembolsables Liquidados","Impuestos a recibir según declaración","Asset",,"Yes","No","T_RECEIVABLES_ACCT",101030501,10103050001,"Impuestos Reembolsables Liquidados",,,,,,,,
10103050002,"Operaciones Interempresa a Cobrar","Cuentas reembolsables de intercompany","Asset",,"Yes","No","INTERCOMPANYDUEFROM_ACCT",101030501,10103050002,"Operaciones Interempresa a Cobrar",,,,,,,,
101030501,"Anticipo y Retenciones de Impuesto a la Renta",,"Asset",,,"Yes",,1010305,101030501,"Anticipo y Retenciones de Impuesto a la Renta",,,,,,,,
10103050101,"Anticipo de Impuesto a la Renta ","Anticipos ingresados al fisco","Asset",,,"No",,101030501,10103050101,"Anticipo de Impuesto a la Renta ",,,,,,,,
10103050102,"Retenciones de Impuesto a la Renta","Retenciones de renta recibidas","Asset",,,"No",,101030501,10103050102,"Retenciones de Impuesto a la Renta",,,,,,,,
