[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
115322,Repuestos,,Asset,,,No,,115,,,,,,,,,,
115325,Materiales diversos,,Asset,,,No,,115,,,,,,,,,,
115326,Embalajes,,Asset,,,No,,115,,,,,,,,,,
115327,Envases,,Asset,,,No,,115,,,,,,,,,,
115328,Materiales de oficina,,Asset,,,No,,115,,,,,,,,,,
115330,Productos en proceso,Work In Process Account,Asset,,Yes,No,P_WIP_ACCT,115,,,,,,,,,,
115350,Productos terminados,Product Inventory Account,Asset,,Yes,No,P_ASSET_ACCT,115,,,,,,,,,,
115360,Subproductos,,Asset,,,No,,115,,,,,,,,,,
115365,Residuos,,Asset,,,No,,115,,,,,,,,,,
115368,Material recuperado,,Asset,,,No,,115,,,,,,,,,,
115390,Deterior del valor de las mercancias,,Asset,,,No,,115,,,,,,,,,,
115391,Deterioro del valor de las materias primas,,Asset,,,No,,115,,,,,,,,,,
115392,Deterioro del valor de los materiales y suministros,,Asset,,,No,,115,,,,,,,,,,
115393,Deterioro del valor de los productos en proceso,,Asset,,,No,,115,,,,,,,,,,
115395,Deterioro del valor de los productos terminados,,Asset,,,No,,115,,,,,,,,,,
115396,Deter  valor de los subproductos  residuos y mater recup,,Asset,,,No,,115,,,,,,,,,,
116,Inversiones en asociadas,,Asset,,,Yes,,11,,,,,,,,,,
116140,Instrumentos de patrimonio  partes relacionadas  corto plazo,,Asset,,,No,,116,,,,,,,,,,
116141,Instrumentos de deuda  partes relacionadas  corto plazo,,Asset,,,No,,116,,,,,,,,,,
116142,Credito partes relacionadas corto plazo,,Asset,,,No,,116,,,,,,,,,,
116149,Desembolsos pendientes  partes relacionadas  corto plazo,,Asset,,,No,,116,,,,,,,,,,
117,Activos biologicos,,Asset,,,Yes,,11,,,,,,,,,,
118,Mantenidos para la venta,,Asset,,,Yes,,11,,,,,,,,,,
119,Otros activos no financieros,,Asset,,,Yes,,11,,,,,,,,,,
119160,Fianzas recibidas,,Asset,,,No,,119,,,,,,,,,,
119161,Depositos recibidos,,Asset,,,No,,119,,,,,,,,,,
119168,Intereses cobrados por anticipado,,Asset,,,No,,119,,,,,,,,,,
119440,Cuentas por cobrar  deudores varios,,Asset,,,No,,119,,,,,,,,,,
119441,Efectos y documentos por cobrar  deudores varios,,Asset,,,No,,119,,,,,,,,,,
119449,Correccion de valor por deudas incobrables  deudores varios,,Asset,,,No,,119,,,,,,,,,,
119480,Gastos anticipados,Prepayments for future expense,Asset,,Yes,No,V_PREPAYMENT_ACCT,119,,,,,,,,,,
119481,Gastos anticipados trabajadores,Expense advances,Asset,,Yes,No,E_PREPAYMENT_ACCT,119,,,,,,,,,,
12,ACTIVO NO CORRIENTE,,Asset,,,Yes,,1,,,,,,,,,,
121,Propiedades  planta y equipos,,Asset,,,Yes,,12,,,,,,,,,,
121210,Terrenos y bienes naturales,,Asset,,,No,,121,,,,,,,,,,
121211,Edificios,,Asset,,,No,,121,,,,,,,,,,
121212,Instalaciones,,Asset,,,No,,121,,,,,,,,,,
121213,Maquinarias,,Asset,,,No,,121,,,,,,,,,,
121214,Herramientas,,Asset,,,No,,121,,,,,,,,,,
121215,Repuestos  enseres y accesorios,,Asset,,,No,,121,,,,,,,,,,
121216,Equipo de oficina,,Asset,,,No,,121,,,,,,,,,,
121217,Equipos de computacion,,Asset,,,No,,121,,,,,,,,,,
121218,Equipo de transporte,,Asset,,,No,,121,,,,,,,,,,
121219,Otras propiedades  planta y equipos,,Asset,,,No,,121,,,,,,,,,,
121281,Depreciacion de Propiedades  Planta y Equipos,,Asset,,,No,,121,,,,,,,,,,
121291,Deterioro del valor de las propiedades  planta y equipos,,Asset,,,No,,121,,,,,,,,,,
122,Otros activos financieros,,Asset,,,Yes,,12,,,,,,,,,,
122250,Inversiones en instrumentos de patrimonio  largo plazo,,Asset,,,No,,122,,,,,,,,,,
122251,Inversiones en instrumentos de deuda  largo plazo,,Asset,,,No,,122,,,,,,,,,,
122252,Prestamos a largo plazo,,Asset,,,No,,122,,,,,,,,,,
122253,Prestamos por enajenacien de activos  largo plazo,,Asset,,,No,,122,,,,,,,,,,
122254,Prestamos al personal  largo plazo,,Asset,,,No,,122,,,,,,,,,,
122255,Activos por derivados financieros a largo plazo,,Asset,,,No,,122,,,,,,,,,,
122258,Plazo fijo  largo plazo,,Asset,,,No,,122,,,,,,,,,,
122259,Desemb pendientes sobre instrum patrimonio  largo pl,,Asset,,,No,,122,,,,,,,,,,
122296,Deteri  valor de los instrum patrimonio largo pl,,Asset,,,No,,122,,,,,,,,,,
122297,Deter valor de los instrum de deuda  largo plazo,,Asset,,,No,,122,,,,,,,,,,
122298,Deterioro del valor de los prestamos concedidos  largo pl,,Asset,,,No,,122,,,,,,,,,,
122299,Deterioro del valor del activo biolegico  largo plazo,,Asset,,,No,,122,,,,,,,,,,
123,Cuentas por cobrar,,Asset,,,Yes,,12,,,,,,,,,,
123433,Cuentas por cobrar clientes partes relacionadas,Default Receivables account for intercompany trx,Asset,,Yes,No,INTERCOMPANYDUEFROM_ACCT,123,,,,,,,,,,
123493,Deter  valor de las cuentas comerciales  partes rel,,Asset,,,No,,123,,,,,,,,,,
124,Activo por impuesto diferido,,Asset,,,Yes,,12,,,,,,,,,,
124474,Activo por impuesto diferido,Tax to be reimbursed - before tax declaration,Asset,,Yes,No,T_CREDIT_ACCT,124,,,,,,,,,,
125,Intangibles,,Asset,,,Yes,,12,,,,,,,,,,
125200,Investigacion,,Asset,,,No,,125,,,,,,,,,,
125201,Desarrollo,,Asset,,,No,,125,,,,,,,,,,
125202,Concesiones administrativas,,Asset,,,No,,125,,,,,,,,,,
125203,Patentes industriales,,Asset,,,No,,125,,,,,,,,,,
125205,Derechos de Traspasos,,Asset,,,No,,125,,,,,,,,,,
125206,Aplicaciones informaticas,,Asset,,,No,,125,,,,,,,,,,
125209,Anticipos para intangibles,,Asset,,,No,,125,,,,,,,,,,
126,Inversiones en asociadas,,Asset,,,Yes,,12,,,,,,,,,,
126240,Instrumentos de patrimonio  partes relacionadas  largo plazo,,Asset,,,No,,126,,,,,,,,,,
126241,Instrumentos de deuda  partes relacionadas  largo plazo,,Asset,,,No,,126,,,,,,,,,,
126242,Prestamos  partes relacionadas  largo plazo,,Asset,,,No,,126,,,,,,,,,,
126249,Desembolsos pendientes  partes relacionadas  largo plazo,,Asset,,,No,,126,,,,,,,,,,
126293,Deter valor de los instrum patrim  partes relac  largo pl,,Asset,,,No,,126,,,,,,,,,,
126294,Deter valor de los instrum de deuda  part relacion  largo pl,,Asset,,,No,,126,,,,,,,,,,
126295,Detervalor de los prest concedidos  part relacion  largo pl,,Asset,,,No,,126,,,,,,,,,,
127,Activos Biologicos,,Asset,,,Yes,,12,,,,,,,,,,
127270,Activos Biologicos al costo,,Asset,,,No,,127,,,,,,,,,,
127271,Activos Biologicos al valor razonable,,Asset,,,No,,127,,,,,,,,,,
127283,Depreciacion activos biologicos,,Asset,,,No,,127,,,,,,,,,,
128,Propiedades de inversion,,Asset,,,Yes,,12,,,,,,,,,,
128220,Terrenos y Bienes naturales,,Asset,,,No,,128,,,,,,,,,,
128221,Edificios,,Asset,,,No,,128,,,,,,,,,,
128230,Adaptaciones de terrenos y bienes naturales,,Asset,,,No,,128,,,,,,,,,,
128231,Construcciones en proceso,Created Asset,Asset,,Yes,No,PJ_ASSET_ACCT,128,,,,,,,,,,
128232,Instalaciones en montaje,,Asset,,,No,,128,,,,,,,,,,
128233,Maquinaria en montaje,,Asset,,,No,,128,,,,,,,,,,
128237,Equipos en montaje,,Asset,,,No,,128,,,,,,,,,,
128239,Anticipos para propiedades planta y equipos,Asset Work in Progress,Asset,,Yes,No,PJ_WIP_ACCT,128,,,,,,,,,,
128280,Amortizacion de intangibles,,Asset,,,No,,128,,,,,,,,,,
128282,Depreciacion de propiedades de inversion,,Asset,,,No,,128,,,,,,,,,,
128290,Deterioro del valor de los activos intangibles,,Asset,,,No,,128,,,,,,,,,,
128292,Deterioro del valor de las propiedades de inversion,,Asset,,,No,,128,,,,,,,,,,
129,Otros activos no financieros,,Asset,,,Yes,,12,,,,,,,,,,
129260,Fianzas constituidas  largo plazo,,Asset,,,No,,129,,,,,,,,,,
129265,Depositos constituidos  largo plazo,,Asset,,,No,,129,,,,,,,,,,
2,PASIVO,,Liability,,,Yes,,,,,,,,,,,,
21,PASIVO CORRIENTE,,Liability,,,Yes,,2,,,,,,,,,,
211,Obligaciones bancarias,,Liability,,,Yes,,21,,,,,,,,,,
211120,Obligaciones bancarias  corto plazo,,Liability,,,No,,211,,,,,,,,,,
212,Otros pasivos financieros,,Liability,,,Yes,,21,,,,,,,,,,
212122,Acreedores por arrendamiento financiero  corto plazo,,Liability,,,No,,212,,,,,,,,,,
212170,Obligaciones y bonos  corto plazo,,Liability,,,No,,212,,,,,,,,,,
212171,Obligaciones y bonos convertibles  corto plazo,,Liability,,,No,,212,,,,,,,,,,
212172,Instrum patrimonio considerados pasivos financieros corto pl,,Liability,,,No,,212,,,,,,,,,,
213,Cuentas por pagar,,Liability,,,Yes,,21,,,,,,,,,,
213121,Proveedores de bienes  corto plazo,,Liability,,,No,,213,,,,,,,,,,
213400,Cuentas por pagar proveedores productos,Accounts Payables,Liability,,Yes,No,V_LIABILITY_ACCT,213,,,,,,,,,,
213401,Efectos y documentos por pagar proveedores productos,,Liability,,,No,,213,,,,,,,,,,
213402,Cuentas por pagar proveedores servicios,Accounts Payables for non-product revenue,Liability,,Yes,No,V_LIABILITY_SERVICES_ACCT,213,,,,,,,,,,
213404,Efectos y documentos por pagar proveedores servicios,,Liability,,,No,,213,,,,,,,,,,
213405,Cuentas por pagar proveedores seleccionados,Selected A-P invoices for payment ,Liability,,Yes,No,B_PAYMENTSELECT_ACCT,213,,,,,,,,,,
213406,Envases y embalajes a devolver a proveedores,,Liability,,,No,,213,,,,,,,,,,
213407,Anticipos a proveedores,,Liability,,,No,,213,,,,,,,,,,
213408,Devoluciones por cobrar,,Liability,,,No,,213,,,,,,,,,,
213410,Cuentas por pagar acreedores varios,Received products services from vendors - but not invoiced,Liability,,Yes,No,NOTINVOICEDRECEIPTS_ACCT,213,,,,,,,,,,
213411,Efectos y documentos por pagar  acreedores varios,,Liability,,,No,,213,,,,,,,,,,
214,Pasivos por impuestos corrientes,,Liability,,,Yes,,21,,,,,,,,,,
214461,FAOV por Pagar,,Liability,,,No,,214,,,,,,,,,,
214462,INCES por Pagar,,Liability,,,No,,214,,,,,,,,,,
214463,Caja de Ahorro por Pagar,,Liability,,,No,,214,,,,,,,,,,
214472,IVA Retenido a Proveedores,,Liability,,,No,,214,,,,,,,,,,
214474,Tributos Municipales por Pagar,,Liability,,,No,,214,,,,,,,,,,
214475,Tributos por pagar,Tax to be paid - before tax declaration,Liability,,Yes,No,T_DUE_ACCT,214,,,,,,,,,,
214476,Seguridad social por pagar,,Liability,,,No,,214,,,,,,,,,,
214477,IVA debito fiscal,,Liability,,,No,,214,,,,,,,,,,
214478,Pasivo por impuesto diferido,Tax to be paid based on tax declaration,Liability,,Yes,No,T_LIABILITY_ACCT,214,,,,,,,,,,
214479,Tributos retenidos por enterar,Withholding for 1099 or Quality Guarantee,Liability,,Yes,No,WITHHOLDING_ACCT,214,,,,,,,,,,
215,Obligaciones laborales,,Liability,,,Yes,,21,,,,,,,,,,
215460,Anticipos al personal,,Liability,,,No,,215,,,,,,,,,,
215465,Remuneraciones por pagar,,Liability,,,No,,215,,,,,,,,,,
215504,Liquidaci—n Prestaciones Sociales por Pagar,,Liability,,,No,,215,,,,,,,,,,
215508,Utilidades por Pagar,,Liability,,,No,,215,,,,,,,,,,
215509,Vacaciones por Pagar,,Liability,,,No,,215,,,,,,,,,,
216,Obligaciones con asociadas,,Liability,,,Yes,,21,,,,,,,,,,
216110,Obligac bancar con entid de credito relacion  corto pl,,Liability,,,No,,216,,,,,,,,,,
216111,Proveedores de bienes  partes relacionadas  corto plazo,,Liability,,,No,,216,,,,,,,,,,
216112,Acreedores arrenda  financ partes relacionadas  corto pl,,Liability,,,No,,216,,,,,,,,,,
216403,Cuentas por pagar proveedores partes relacionadas,Default Payables account for intercompany trx,Liability,,Yes,No,INTERCOMPANYDUETO_ACCT,216,,,,,,,,,,
217,Obligaciones legales,,Liability,,,Yes,,21,,,,,,,,,,
218,Estimaciones,,Liability,,,Yes,,21,,,,,,,,,,
219,Otros pasivos no financieros,,Liability,,,Yes,,21,,,,,,,,,,
219126,Dividendos por pagar,,Liability,,,No,,219,,,,,,,,,,
219165,Fianzas constituidas,,Liability,,,No,,219,,,,,,,,,,
219166,Depositos constituidos,,Liability,,,No,,219,,,,,,,,,,
219167,Intereses pagados por anticipado,,Liability,,,No,,219,,,,,,,,,,
219485,Ingresos anticipados,,Liability,,,No,,219,,,,,,,,,,
22,PASIVO NO CORRIENTE,,Liability,,,Yes,,2,,,,,,,,,,
221,Obligaciones bancarias,,Liability,,,Yes,,22,,,,,,,,,,
221520,Obligaciones bancarias  largo plazo,,Liability,,,No,,221,,,,,,,,,,
221522,Acreedores por arrendamiento financiero  largo plazo,,Liability,,,No,,221,,,,,,,,,,
221523,Deudas  largo plazo,,Liability,,,No,,221,,,,,,,,,,
222,Otros pasivos financieros,,Liability,,,Yes,,22,,,,,,,,,,
222524,Deudas transformable en subvenc donac y legados  largo pl,,Liability,,,No,,222,,,,,,,,,,
222525,Pasivos por derivados financieros a largo plazo,,Liability,,,No,,222,,,,,,,,,,
222527,Obligaciones y bonos,,Liability,,,No,,222,,,,,,,,,,
222528,Obligaciones y bonos convertibles,,Liability,,,No,,222,,,,,,,,,,
222529,Deudas representadas en otros valores negociables  largo pl,,Liability,,,No,,222,,,,,,,,,,
222570,Instrum patrimonio consideradas como pasivos fin  largo pl,,Liability,,,No,,222,,,,,,,,,,
222573,Desemb no exigidos por instrum de patrim consid pasivos fin,,Liability,,,No,,222,,,,,,,,,,
222574,Aportaciones pend por instrum patrim consid como pasivos fin,,Liability,,,No,,222,,,,,,,,,,
223,Cuentas por pagar,,Liability,,,Yes,,22,,,,,,,,,,
223521,Proveedores de bienes  largo plazo,,Liability,,,No,,223,,,,,,,,,,
223526,Cuentas efectos y documentos por pagar  largo plazo,,Liability,,,No,,223,,,,,,,,,,
224,Pasivos por impuesto diferido,,Liability,,,Yes,,22,,,,,,,,,,
224501,Provision impuestos,,Liability,,,No,,224,,,,,,,,,,
225,Obligaciones laborales,,Liability,,,Yes,,22,,,,,,,,,,
225500,Provision remuneraciones al personal  largo plazo,,Liability,,,No,,225,,,,,,,,,,
225504,Provisi—n Prestaciones Sociales por Pagar,,Liability,,,No,,225,,,,,,,,,,
226,Obligaciones con asociadas,,Liability,,,Yes,,22,,,,,,,,,,
226510,Obligac bancarias con entidades de cred relac largo pl,,Liability,,,No,,226,,,,,,,,,,
226511,Proveedores de bienes partes relacionadas largo plazo,,Liability,,,No,,226,,,,,,,,,,
226512,Acreedores  arrendamiento fin partes relacion largo pl,,Liability,,,No,,226,,,,,,,,,,
227,Obligaciones legales,,Liability,,,Yes,,22,,,,,,,,,,
227590,Acciones o participaciones emitidas,,Liability,,,No,,227,,,,,,,,,,
227592,Suscriptores de acciones,,Liability,,,No,,227,,,,,,,,,,
227594,Capital emitido pendiente de inscripcion,,Liability,,,No,,227,,,,,,,,,,
227595,Acciones o participaciones emitidas consid pasivos financ,,Liability,,,No,,227,,,,,,,,,,
227597,Suscriptores de acciones consideradas como pasivos financ,,Liability,,,No,,227,,,,,,,,,,
227599,Accion particip emitid consid pasivos financ pend de inscr,,Liability,,,No,,227,,,,,,,,,,
228,Estimaciones,,Liability,,,Yes,,22,,,,,,,,,,
228502,Provision otras obligaciones,,Liability,,,No,,228,,,,,,,,,,
228503,Provision desmantel retiro o rehabilit de prop pl y equipos,,Liability,,,No,,228,,,,,,,,,,
228505,Provision actuaciones medioambientales,,Liability,,,No,,228,,,,,,,,,,
228506,Provision reestructuraciones,,Liability,,,No,,228,,,,,,,,,,
228507,Provisiones transacciones con pagos basados en acciones,,Liability,,,No,,228,,,,,,,,,,
229,Otros pasivos no financieros,,Liability,,,Yes,,22,,,,,,,,,,
229560,Fianzas recibidas a largo plazo,,Liability,,,No,,229,,,,,,,,,,
229561,Anticipos recibidos por venta o prest de servic a largo pl,,Liability,,,No,,229,,,,,,,,,,
229565,Depositos recibidos a largo plaza,,Liability,,,No,,229,,,,,,,,,,
229569,Garantias financieras a largo plazo,,Liability,,,No,,229,,,,,,,,,,
229580,Subvenciones oficiales de capital,,Liability,,,No,,229,,,,,,,,,,
229581,Donaciones y legados de capital,,Liability,,,No,,229,,,,,,,,,,
229582,Otras subvenciones donaciones y legados,,Liability,,,No,,229,,,,,,,,,,
3,PATRIMONIO NETO,,Owner's Equity,,,Yes,,,,,,,,,,,,
31,CAPITAL,,Owner's Equity,,,Yes,,3,,,,,,,,,,
311,Capital en acciones,,Owner's Equity,,,Yes,,31,,,,,,,,,,
311530,Capital social,,Owner's Equity,,,No,,311,,,,,,,,,,
311531,Fondo social,,Owner's Equity,,,No,,311,,,,,,,,,,
311532,Cuenta personal,,Owner's Equity,,,No,,311,,,,,,,,,,
311533,Capital no pagado,,Owner's Equity,,,No,,311,,,,,,,,,,
312,Acciones en tesoreria,,Owner's Equity,,,Yes,,31,,,,,,,,,,
312538,Acciones en tesoreria,,Owner's Equity,,,No,,312,,,,,,,,,,
32,RESERVAS,,Owner's Equity,,,Yes,,3,,,,,,,,,,
321,Reservas Legales,,Owner's Equity,,,Yes,,32,,,,,,,,,,
321540,Prima en emision o asuncion,,Owner's Equity,,,No,,321,,,,,,,,,,
321542,Reserva legal,,Owner's Equity,,,No,,321,,,,,,,,,,
322,Reservas Voluntarias,,Owner's Equity,,,Yes,,32,,,,,,,,,,
322543,Reservas voluntarias,,Owner's Equity,,,No,,322,,,,,,,,,,
322544,Reservas especiales,,Owner's Equity,,,No,,322,,,,,,,,,,
322548,Aportes para compensacion de perdidas,,Owner's Equity,,,No,,322,,,,,,,,,,
33,RESULTADOS ACUMULADOS,,Owner's Equity,,,Yes,,3,,,,,,,,,,
331,Resultados Acumulados,,Owner's Equity,,,Yes,,33,,,,,,,,,,
331550,Utilidades acumuladas,,Owner's Equity,,,No,,331,,,,,,,,,,
331551,Perdidas acumuladas,,Owner's Equity,,,No,,331,,,,,,,,,,
331552,Utilidades o Pedidas acumuladas del ejercicio,Year end processing to balance account (Retained Earnings),Owner's Equity,,Yes,No,INCOMESUMMARY_ACCT,331,,,,,,,,,,
332,Otros Resultados Integrales,,Owner's Equity,,,Yes,,33,,,,,,,,,,
332559,Resultado del ejercicio,Year end processing to balance account - Income Summary,Owner's Equity,,Yes,No,RETAINEDEARNING_ACCT,332,,,,,,,,,,
4,INGRESOS,,Revenue,,,Yes,,,,,,,,,,,,
41,INGRESOS OPERACIONALES,,Revenue,,,Yes,,4,,,,,,,,,,
411,Ingresos operacionales,,Revenue,,,Yes,,41,,,,,,,,,,
411700,Venta de mercancias,Default Product or Service revenue,Revenue,,Yes,No,P_REVENUE_ACCT,411,,,,,,,,,,
411701,Venta de productos terminados,,Revenue,,,No,,411,,,,,,,,,,
411702,Venta de materias primas,,Revenue,,,No,,,,,,,,,,,,
411703,Venta de subproductos y residuos,,Revenue,,,No,,411,,,,,,,,,,
411704,Venta de envases y embalajes,,Revenue,,,No,,411,,,,,,,,,,
411705,Prestacion de servicios,,Revenue,,,No,,411,,,,,,,,,,
411706,Descuentos por pronto pago,Granted early payment discount to customers,Revenue,,Yes,No,PAYDISCOUNT_EXP_ACCT,411,,,,,,,,,,
411708,Rebajas y devoluciones,,Revenue,,,No,,411,,,,,,,,,,
411709,Descuento sobre ventas,Granted Trade discounts (corrects Product Revenue),Revenue,,Yes,No,P_TRADEDISCOUNTGRANT_ACCT,411,,,,,,,,,,
42,OTROS INGRESOS,,Revenue,,,Yes,,4,,,,,,,,,,
421,Otros ingresos,,Revenue,,,Yes,,42,,,,,,,,,,
421740,Subvenc donac legados de oper transfer al result del ejerc,,Revenue,,,No,,421,,,,,,,,,,
421746,Subvenc donac legados de capital trasf al result del ejerc,,Revenue,,,No,,421,,,,,,,,,,
421747,Otras subvenc donaciones legados transf al result del ejerc,,Revenue,,,No,,421,,,,,,,,,,
421750,Ingresos por productos facturados y no entregados,We have invoiced but not delivered yet,Revenue,,Yes,No,UNEARNEDREVENUE_ACCT,421,,,,,,,,,,
421751,Ingresos por productos entregados y no facturados,We delivered but have not invoiced yet,Revenue,,Yes,No,NOTINVOICEDREVENUE_ACCT,421,,,,,,,,,,
421752,Ingresos por arrendamientos,,Revenue,,,No,,421,,,,,,,,,,
421754,Ingresos por comisiones,,Revenue,,,No,,421,,,,,,,,,,
421755,Otros Ingresos Operacionales,Default other revenue,Revenue,,Yes,No,CH_REVENUE_ACCT,421,,,,,,,,,,
421756,Otros Ingresos en transacciones de caja chica,Default other revenue for petty cash transactions,Revenue,,Yes,No,CB_RECEIPT_ACCT,421,,,,,,,,,,
521759,Ingreso por servicios varios,,Revenue,,,No,,421,,,,,,,,,,
422,Ingresos Procedentes Activos No Corrientes,,Revenue,,,Yes,,42,,,,,,,,,,
422710,Variacion de inventarios de productos en proceso,,Revenue,,,No,,422,,,,,,,,,,
422712,Variacion de inventarios de productos terminados,,Revenue,,,No,,422,,,,,,,,,,
422713,Variacion inventarios de subprod  residuos y mater recuper,,Revenue,,,No,,422,,,,,,,,,,
422730,Trabajos realizados para el activo intangible,,Revenue,,,No,,422,,,,,,,,,,
422731,Trabajos realizados para las propiedades planta y equipos,,Revenue,,,No,,422,,,,,,,,,,
422732,Trabajos realizados en propiedades de inversion,,Revenue,,,No,,422,,,,,,,,,,
422733,Trabajos realizados en las obras en proceso,,Revenue,,,No,,422,,,,,,,,,,
422770,Beneficio procedentes de activos intangibles,,Revenue,,,No,,422,,,,,,,,,,
422771,Beneficios procedentes de propiedades planta y equipos,,Revenue,,,No,,422,,,,,,,,,,
422772,Beneficios procedentes de las propiedades de inversion,,Revenue,,,No,,422,,,,,,,,,,
