Value/K,Name,Description,IsSummary,IsDefault,IsActive
0119,Cultivos de Otros Productos no Perennes.,"Esta clase incluye el cultivo de todas las otras cosechas no-perennes: - cultivo de nabos suecos, remolacha forrajera o colnabo, forraje,  trébol, alfalfa, esparceta, maíz y otras hierbas, col rizada de forraje y productos similares de forraje. Cultivo de semillas de remolacha (exceptuando la remolacha azucarera) y semillas y plantas de forraje. Cultivo de flores, incluyendo producción de corte de flores y brotes de flores Cultivo de semillas de flores Esta clase excluye: el cultivo de especias no perennes, aromáticas, cultivos medicinales y farmacéuticos,ver 0128.",N,N,Y
0121,Cultivo de Uvas.,"Esta clase incluye: cultivo de uvas para el vino y uvas para ser consumidas como fruta fresca en las vińas. Esta clase excluye: elaboración del vino, ver 1102.",N,N,Y
0122,Cultivo de Frutas Tropicales y Subtropicales.,"Esta clase incluye: - cultivo de frutas tropicales y subtropicales: paltas pińas, papayas, mangos, plátanos, higos, dátiles y otras frutas tropicales y subtropicales",N,N,Y
0123,Cultivo de Frutas Cítricas.,"Esta clase incluye: - cultivos de frutas cítricas: Toronjas, pomelo, limas, limones, cales, naranjas, mandarinas, mandarinas, clementinas y otras frutas cítricas.",N,N,Y
0124,Cultivo de Frutas con Hueso y con Pepa.,"Esta clase incluye: - cultivo de frutas de pepita y de hueso: ciruelos, endrinos, peras, membrillos, melocotones, nectarinas, cerezas, albaricoques, manzanas, cerezas amargas y otras frutas de pepita y de hueso.",N,N,Y
0125,Cultivo de Otras Frutas que Crecen en Árboles y Arbustos y Nueces.,"Esta clase incluye: - bayas. Arándano, grosella, grosella espinosa, kiwi, frambuesa, fresa, otras bayas, también incluye semillas de fruta, frutos secos comestibles como: almendras, anacardos, castańas, avellanas, pistachos, nogales o nueces y otros frutos comestibles, cultivo de otros árboles y arbustos frutales. Esta clase excluye: cultivo de cocos, ver 0126.",N,N,Y
0126,Cultivo de Frutas Oleaginosas.,"Esta clase incluye: Cultivo de frutas oleaginosas; cocos, aceitunas, aceite de palma, otras frutas oleaginosas. Esta clase excluye: cultivo de frijoles de soya, maní y otras semillas aceitosas, ver 0111.",N,N,Y
0127,Cultivo de Productos para Preparar Bebidas.,"Esta clase incluye: cultivo de productos para bebidas como: café, té, mate, cacao, otros cultivos para bebidas.",N,N,Y
0128,"Cultivo de Plantas Aromáticas, Medicinales y Especias.","Esta clase incluye: cultivo de especias y plantas aromáticas perennes y no perennes como; pimiento (piper), ajíes y pimientos (capsicum), nuez moscada, maza y cardamomo, anís, badián e hinojo, canela, clavos, jengibre, vainilla, otras especias y cultivos aromáticos, cultivo de narcóticos y drogas, cultivo de plantas usadas ante todo en perfumería, farmacia o para insecticidas, fungicidas o propósitos similares.",N,N,Y
0129,Otros Cultivos Perennes.,"Esta clase incluye: cultivo de árboles de caucho, cultivo de árboles de Navidad, cultivo de árboles para la extracción de savia. Esta clase excluye: recolección de árboles de savia o caucho como goma o chicle en la naturaleza, ver 0230.",N,N,Y
0130,Propagación de plantas.,"Esta clase incluye la producción de todos los materiales vegetativos de plantación incluidos esquejes, chupones y plantas de semilleros para propagación de planta directa o para crear una reserva de injerto de planta donde el retońo seleccionado es injertado para una plantación eventual para producir cultivos. Esta clase incluye: cultivo de plantas para plantación, cultivo de plantas para propósitos ornamentales, incluyendo césped para trasplantación, cultivo de plantas vivas para bulbos, tubérculos y raíces, esqueje; semillas de hongos, operación de árboles viveros, excepto árboles viveros del bosque. Esta clase excluye: operación de árboles viveros del bosque, ver 0210.",N,N,Y
131,"Hiladura, tejedura y acabados de productos textiles.","Este grupo incluye la elaboración de textiles, incluyendo operaciones preparatorias, la hiladura de fibras textiles y la tejedura de textiles. Esta puede ser hecha de variables materias primas como seda, lana, otras fibras animales, vegetales o hechas a mano, papel o vidrio, etc. También incluida en este grupo está la terminación de textiles y ropa tejida. Ej., blanqueado, teńido, alińado y actividades similares.",N,N,Y
132,Fabricación de otros productos textiles.,"Este grupo incluye la elaboración de productos producidos de textiles, excepto confecciones, tales como artículos textiles hechos a mano, alfombras y tapetes, cuerdas, telas de tejedura estrecha, adornos, etc.",N,N,Y
0141,Cría de Ganado Vacuno y Búfalos.,"Esta clase incluye: cría de ganado vacuno y búfalos, producción de leche cruda de vacas y búfalos y producción de semen bovino. Esta clase excluye: procesamiento de leche, ver 1050.",N,N,Y
0142,Cría de Caballos y Otros Equinos.,"Esta clase incluye, cría de caballos, asnos, burros, mulas o burdéganos. Esta clase excluye: operación de establos para carreras y equitación.",N,N,Y
0143,Cría de Camellos y Camélidos.,Esta clase incluye la cría de camellos (dromedarios) y camélidos.,N,N,Y
0144,Cría de Ovejas y Cabras.,"Esta clase incluye: cría de ovejas y cabras, producción de leche cruda de oveja y cabra, producción de lana cruda. Esta clase excluye: esquilado de ovejas por contrato de bases o a cambio de una retribución, ver 0162, producción de jalado de lana, ver 1010, procesamiento de leche, ver 1050. ",N,N,Y
0145,Cría de Cerdos / Puercos.,Esta clase incluye: cría de puercos (cerdos),N,N,Y
0146,Cría de Aves de Corral.,"Esta clase incluye: cría de aves de corral, aves de corral de la especia Gallus Domesticus (pollos y gallinas), patos, gansos, pavos y cobayas o gallinas de Guinea.",N,N,Y
0149,Cría de Otros Animales.,"Esta clase incluye: cría de animales semi -domesticados u otros animales vivos como: avestruces, emúes (plural de emú, parecido al ńandú), otras aves (excepto aves de corral), insectos, conejos y otros animales de piel valiosa, producción de pieles, pieles de aves o reptiles de las operaciones en ranchos, operación de granjas de gusanos, granjas de moluscos de tierra, granjas de caracoles, etc. Cría de gusanos de seda, producción de capullos de gusanos de seda, apicultura y producción de cera y miel de abeja, cría de mascotas (excepto peces): gatos y perros, pájaros tales como pericos, etc. hámster, etc. Cría de diversos animales. Esta clase excluye: producción de cueros y pieles originados de la caza ordinaria y a través de trampas, ver 0170, operación de granjas de ranas, de cocodrilos y de gusanos marinos, ver 0321, 0322. Entrenamiento de mascotas, ver 9609.",N,N,Y
0150,Explotación mixta.,"Esta clase incluye la producción combinada de cultivos y animales sin una producción especializada de cultivos o animales. El tamańo total de las operaciones de explotación no es un factor determinante. Si alguna de las dos producciones, cultivos o animales en una determinada unidad excede el 66% o más del nivel de margen bruto, la actividad combinada no deberá ser incluida aquí, sino en explotación de cultivos o animal. Esta clase excluye: explotación mixta de cultivos, ver grupos 011 y 012 y explotación mixta de animales, ver grupo 014.",N,N,Y
151,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teńido de pieles.","Curtido y adobo de cueros; fabricación de maletas, bolsos de mano, y artículos de talabartería y guarnicionería; adobo y teńido de pieles. Este grupo incluye la elaboración de cuero y pieles y productos derivados",N,N,Y
0161,Actividades de Apoyo a los Cultivos.,"Esta clase incluye: actividades agrícolas por contrato o a cambio de una retribución como; preparación de campos, establecimiento de cultivos, tratamiento de cultivos, cultivo por aspersión incluido por aire, poda de árboles frutales y parras, trasplantación de arroz, aclareo de remolachas, cosecha, control de plagas (incluyendo conejos) en conexión con agricultura, operación del equipo de irrigación agrícola. Esta clase también incluye: provisión de maquinaria agrícola con operarios y personal, mantenimiento de tierra para mantenerla en buenas condiciones para el uso agrícola. Esta clase excluye: actividades posteriores a la cosecha, ver 0163; actividades de agrónomos y economistas agrícolas, ver 7490; arquitectura paisajista, ver 7110; jardinería paisajista, plantación, ver 8130, mantenimiento de tierra para mantenerla en buenas condiciones ecológicas, ver 8130, organización de ferias y espectáculos agrícolas, ver 8230.",N,N,Y
0162,Actividades de Apoyo a la Ganadería.,"Esta clase incluye: actividades agrícolas por contrato o a cambio de una retribución como; actividades para mejorar la reproducción, crecimiento y rendimiento de los animales, inseminación artificial, inspección sanitaria, arreo y pasturaje de ganado, capadura de aves de corral, limpieza de gallineros, etc. servicios de establo, esquila de ovejas, albergue y cuidado de animales de granja, esta clase también incluye actividades de herraje. Esta clase excluye: provisión de espacio sólo para albergue animal, ver 6810, actividades veterinarias, ver 7500; vacunación de animales, ver 7500; alquiler de animales (ej. manadas) ver 7730; actividades de servicios para promover la caza ordinaria y con trampas con fines comerciales, ver 9499, albergue de mascotas, ver 9609.",N,N,Y
162,"Fabricación de productos de madera, corcho, paja y materiales trenzables.","Este grupo incluye fabricación de productos de madera, corcho, paja o materiales trenzados, incluyendo formas básicas como también productos ensamblados",N,N,Y
0163,Actividades Posteriores a la Cosecha.,"Esta clase incluye: preparación de las cosechas para el mercado primario, limpieza, recorte, clasificación, desinsectación, desmotado del algodón, preparación de hojas de tabaco, preparación de granos de cacao, encerado de frutas. Esta clase excluye: preparación de productos agrícolas por los productores, ver clases correspondientes en grupos 011 o 012; despalillado y resecado de tabaco, ver 1200; actividades de mercadotecnia de comisiones de comerciantes y asociaciones cooperativas, ver división 46, venta al por mayor de productos agrícolas crudos, ver 4620",N,N,Y
0164,Procesamiento de Semillas para la Propagación.,"Esta clase incluye todas las actividades posteriores a la cosecha apuntadas a mejorar la calidad de propagación de la semilla a través de la eliminación de los materiales que no son semilla,  semillas de tamańo inferior al normal, semillas dańadas mecánicamente o por insectos y semillas inmaduras, como también removiendo la semilla húmeda a un nivel seguro para su almacenaje. Esta actividad incluye el secado, limpieza, clasificación y tratamiento de semillas hasta que son comercializadas. El tratamiento de semillas genéticamente modificadas está incluido aquí. Esta clase excluye: Cultivo de semillas, ver grupos 011 y 012; procesamiento de semillas para obtener aceite, ver 1040; investigación para desarrollar o modificar nuevas formas de semillas, ver 7210, ",N,N,Y
0170,"Caza ordinaria, mediante trampas y actividades de servicio conexas.","Esta clase incluye: caza ordinaria y mediante trampas para fines comerciales, captura de animales (vivos o muertos) para comida, por sus pieles o cueros o para uso en investigación, en zoológicos o como mascotas, producción de pieles finas, cuero de reptiles y plumas de aves provenientes de la caza ordinaria o mediante trampas. Esta clase también incluye: la captura en tierra de mamíferos marinos como focas y morsas. Esta clase excluye: producción de pieles finas, cuero de reptiles y plumas de aves provenientes de las actividades agropecuarias, ver grupo 014; cría de animales de caza en actividades agropecuarias, ver 0149; captura de ballenas, ver 0311; producción de cueros y pieles de mataderos, ver 1010; caza deportiva o recreacional y actividades de servicio relativas, ver 9319; actividades de servicio que promueven la caza ordinaria y mediante trampas, ver 9499,",N,N,Y
181,Actividades de impresión y servicios conexos.,"Este grupo incluye la impresión de productos, tales como diarios, libros, periódicos, formularios de negocios, tarjetas de saludos y otros materiales y actividades de apoyo relacionadas tales como encuadernados, elaboración de placas de impresión y proyección de imagen. La impresión puede ser realizada usando varias técnicas y sobre diferentes materiales.",N,N,Y
201,"Fabricación de sustancias químicas básicas abonos y compuesto de nitrógenos, plásticos y cauchos sintéticos en forma primaria.","Fabricación de sustancias químicas básicas, abonos y compuestos de nitrógeno, plásticos y caucho sintético en formas primarias. Este grupo incluye la elaboración de productos químicos base, fertilizantes y compuestos nitrógenos relacionados, como también plásticos y caucho sintético en forma primaria.",N,N,Y
202,Fabricación de otros productos químicos.,"Este grupo incluye la elaboración de otros productos químicos que los químicos base y fibras manufacturadas. Esta incluye la elaboración de una variedad de bienes tales como pesticidas, pinturas y tintas, jabón, preparados de limpieza, perfumes y preparados para bańos, productos explosivos y pirotécnicos, preparados químicos para usos fotográficos incluyendo película y papel sensibilizado, gelatinas, preparados de diagnósticos compuestos etc.",N,N,Y
0210,Silvicultura y otras actividades relacionadas a la silvicultura.,"Esta clase incluye: explotación de madera en pie: plantación, replante, transplante, aclareo y conservación de bosques y zonas forestadas; explotación de arbustos, pulpa de madera y leńa; explotación de bosques de viveros de árboles. Estas actividades pueden ser llevadas a cabo en la naturaleza o en bosques plantados. Esta clase excluye: cultivo de árboles de Navidad, ver 0129, explotación de viveros de árboles, ver 0130; recolección de productos forestales no madereros, ver 0230; producción de astillas de madera y partículas, ver 1610",N,N,Y
0220,Extracción de madera.,"Esta clase incluye: producción de madera para la industria manufacturera de campos madereros, producción de troncos usados en forma no procesada como puntales, cercas y postes de madera, recolección y producción de leńa, producción de carbón de leńa en el bosque (usando métodos tradicionales) La producción de esta actividad puede tomar la forma de troncos, astillas o leńa. Esta clase excluye: producción de árboles de navidad, ver 0129; explotación de madera en pie: plantación, replante, transplante, aclareo y conservación de bosques y zonas forestadas, ver 0210; recolección de productos forestales no madereros, ver 0230; producción de astillas y partículas, ver 1610 y producción de carbón de leńa a través de la destilación de madera, ver 2011",N,N,Y
221,Fabricación de productos de caucho.,Este grupo incluye la fabricación de productos de caucho.,N,N,Y
0230,Recolección de productos forestales diferentes a la madera.,"Esta clase incluye la recolección de productos diferentes a la madera y otras plantas que crecen en la naturaleza. Esta clase incluye: recolección de materiales que crecen en forma natural: hongos, trufas, bayas, nueces, balata y otro caucho similar a la goma, corcho, laca y resinas, bálsamos, crin vegetal, hierba marina, bellotas y castańas de indias. Esta clase excluye: producción dirigida de cualquiera de estos productos (excepto cultivo de árboles de corcho), ver división 01; cultivo de hongos y trufas, ver 0113; cultivo de bayas o nueces; ver 0125; recolección de leńa; ver 0220, producción de madera, ver 1610,",N,N,Y
239,Fabricación de productos minerales no metálicos.,"Este grupo incluye la elaboración de productos finales e intermedios de minerales no metálicos de minas o canteras tales como arena, grava, piedra o arcilla.",N,N,Y
0240,Servicios de apoyo a la silvicultura.,"Esta clase incluye la realización de parte de las operaciones forestales por contrato o a cambio de una retribución. Esta clase incluye: actividades de servicio forestal: inventarios de existencias maderables, evaluación maderera, lucha y protección de incendios forestales, control de plagas forestales, servicios de consultoría y gestión forestal. Servicios de explotación forestal: transpone de troncos dentro del bosque. Esta clase excluye: operación de bosques de viveros de árboles, ver 0210, 03 ",N,N,Y
243,Fundición de metales.,"Este grupo incluye la producción de productos semi terminados por proceso de fundición Este grupo excluye la producción de productos fundidos terminados tales como: calderas y radiadores, ver 2512; artículos domésticos fundidos, ver 2599",N,N,Y
251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y los generadores de vapor.","Este grupo incluye la fabricación de productos metálicos para uso estructural (tales como estructuras de partes para construcción), como también contenedores de metal tipo objeto (como reservorios, tanques, calderas para calefacción central) y generadores de vapor.",N,N,Y
259,Fabricación de otros productos elaborados de metal; actividades de trabajo de metales.,"Este grupo incluye las actividades generales para el tratamiento del metal, tales como forjar o presionar, plateado, revestido, grabado, agujerear, pulir, soldar, etc. que se realizan típicamente sobre una base del honorario o por contrato. Este grupo también incluye la fabricación de una variedad de productos del metal, tales como cuchillería; herramientas de mano y ferretería en general; latas y cubos; clavos, pernos y tuercas; artículos de casa de metal; accesorios de metal; propulsores y anclas de las naves; piezas y accesorios ensamblados para vías de ferrocarril, etc. para una variedad de casa y de aplicaciones industriales.",N,N,Y
265,"Fabricación de equipos para medir, verificar, y navegar y de equipos de control.","Fabricación de equipos para medir, verificar, y navegar y de equipos de control, y relojes de todo tipo  Este grupo incluye la fabricación de equipos de medida, prueba, navegación y control para varios propósitos industriales y no industriales, incluyendo equipos de medición de tiempo como relojes y equipos relacionados. ",N,N,Y
273,Fabricación de cables y dispositivos de cableado.,Este grupo incluye la fabricación de dispositivos de cableado que llevan corriente y los que no llevan corriente para circuitos de cableado eléctrico a pesar del material. Este grupo también incluye el aislamiento de cables y la fabricación de cables de fibra óptica.,N,N,Y
281,Fabricación de la maquinaria de uso general.,"Este grupo incluye la fabricación de maquinaria de propósito general, maquinaria que es usada en una amplio rango de las industrias CIIU. Esta puede incluir la fabricación de componentes usados en la fabricación de una variedad de otras maquinarias o la fabricación de maquinaria que apoya la operación de otros negocios.",N,N,Y
282,Fabricación de maquinaria de uso especial.,"Este grupo incluye la fabricación de maquinaria de uso especial, maquinaria para uso exclusivo en una Industria de la CIIU o un pequeńo grupo de industrias de la CIIU. Mientras la mayoría de estos son usados en otros procesos de fabricación, tales como elaboración de alimentos o fabricación de textiles, este grupo también incluye la fabricación de maquinaria específica para otras (industrias no manufactureras) tales como equipo de lanzamiento de aviones, equipo para parques de diversiones.",N,N,Y
301,Construcción de buques y otras embarcaciones.,"Este grupo incluye la construcción de buques, botes y otras estructuras flotantes para transportación y otros usos comerciales, como también para usos recreativos y deportivos.",N,N,Y
309,Fabricación de tipos de equipo de transporte.,"Este grupo incluye la fabricación de equipo de transporte diferente de vehículos a motor y equipo de transporte por mar, agua y vías ferroviarias y vehículos militares.",N,N,Y
0311,Pesca Marítima.,"Esta clase incluye: pesca comercial en aguas oceánicas o costeras, captura de crustáceos y moluscos marítimos, pesca de ballenas, pesca de animales acuáticos marítimos: tortugas,  erizos,  tunicados, etc. Esta clase también incluye: actividades de cargueros comprometidos en pesca y procesamiento de peces, recolección de otros materiales y organismos marítimos: perlas naturales, esponjas, corales y algas. Esta clase excluye: captura de mamíferos marinos, excepto ballenas, por ejemplo Morsas, focas, ver 0170; procesamiento de peces, crustáceos y moluscos en buques fabrica o en fabricas en tierra, ver 1020; botes de renta o placer con tripulación para transporte en el mar y aguas costeras (ej. cruceros de pesca) ver 5011; servicios de inspección de pesca, y de protección y patrulla, ver 8423; pesca practicada por deporte o recreación y servicios relacionados, ver 9319; actividades de conservación de pesca deportiva, ver 9319.",N,N,Y
0312,Pesca de Agua Dulce.,"Esta clase incluye: pesca comercial en aguas continentales, captura de crustáceos y moluscos de aguadulce, captura de animales acuáticos de agua dulce. Esta clase también incluye: recolección de materiales de agua dulce. Esta clase excluye: procesamiento de pescado, crustáceos y moluscos, ver 1020; servicios de inspección de pesca, de protección y de patrulla, ver 8423, pesca practicada por deporte o recreación y servicios relacionados, ver 9319; actividades de conservación de pesca deportiva, ver 9319",N,N,Y
0321,Acuicultura Marítima.,"Esta clase incluye: granjas de peces in aguas de mar incluyendo granjas de peces marítimos ornamentales,  explotación de criaderos de larvas (ostras y mejillones) camarones en estado pos larval, langostas, crías desarrolladas, cultivo de laver (tipo de alga) y otras algas comestibles, cultivo de bivalvos,  crustáceos y otros moluscos y animales acuáticos en el mar. Esta clase también incluye: acuicultura en agua salada, actividades de acuicultura en tanques o reservorios llenos de agua salada, operaciones de viveros de peces (marítimos), operaciones de granjas de gusanos marinos. Esta clase excluye: grangas de ranas, ver 0322; operaciones de preservación de pesca deportiva.",N,N,Y
321,"Fabricación de joyas, bisutería y artículos conexos.",Este grupo incluye la fabricación de joyería y de artículos de imitación de joyería.,N,N,Y
0322,Acuicultura de Agua Dulce.,"Esta clase incluye: granjas de peces en agua dulce incluyendo granjas de peces ornamentales de agua dulce, cultivo de crustaceos, bivalvos, otros moluscos y otros animales acuaticos de agua dulce, operación de viveros de peces (agua dulce) y granjas de ranas. Esta clase excluye: actividades de acuicultura en reservorios y tanques llenos de agua salada, ver 0321 y operaciones de preservación de pesca deportiva, ver 9319",N,N,Y
331,"Reparación de productos elaborados de metal, maquinarias y equipos.","La reparación y mantenimiento de productos elaborados de metal, maquinaria y equipo incluye la reparación especializada de bienes producidos en el sector Industria con el objetivo de restaurar estos productos de metal, maquinaria, equipo y otros productos a orden de trabajo. La provisión de mantenimiento general o rutina (revisión) de tales productos para asegurar el funcionamiento eficiente y prevenir averías y reparaciones innecesarias está incluida aquí. Este grupo excluye: reconstrucción o remanufacturación de maquinaria y equipo, ver la clase correspondiente en la división 25-31); limpieza de maquinaria industrial, ver 8129; reparación y mantenimiento de computadoras y equipo de comunicación, ver 951; reparación y mantenimiento de artículos domésticos, ver 952",N,N,Y
381,Recolección de desechos.,"Este grupo incluye la recolección de desperdicios de casas y negocios por medio de tachos de basura, contenedores de basura, contenedores, etc., Esto incluye la recolección de desechos peligrosos y no peligrosos ejemplo desechos de casas, baterías usadas, aceites y grasas usadas de cocina, desperdicio de aceite de buques y aceite usado de garajes, así como también los desperdicios de construcciones y demoliciones.",N,N,Y
382,Tratamiento y eliminación de desechos.,"Este grupo incluye la eliminación y tratamiento anterior a la eliminación de varias formas de desecho por diferentes medios, tales como tratamiento de desechos de desechos orgánicos con el objetivo de eliminación; tratamiento y eliminación de animales vivos o muertos tóxicos y otros desechos contaminados; tratamiento y desecho radioactivos transitorios de hospitales, etc.; vertederos de desechos eliminados perjudiciales; eliminación de desechos por incineración o combustión. También está incluida la generación de electricidad resultante del proceso de incineración de desechos. Este grupo excluye el tratamiento y eliminación de aguas servidas (ver clase 3700)",N,N,Y
431,Demolición y preparación del terreno.,"Este grupo incluye actividades de preparación de sitios para su subsiguiente construcción, incluso la remoción de estructuras previamente existentes.",N,N,Y
432,"Actividades de instalación eléctrica, fontanería y otras instalaciones de la construcción.","Este grupo incluye actividades de instalación que complementan el funcionamiento de un edificio como tal, incluso instalación de sistemas eléctricos, plomería (agua, gas, y sistemas de desagüe) sistemas de calefacción y aire acondicionado, ascensores etc.",N,N,Y
464,Venta al por mayor de enseres domésticos.,"Este grupo incluye la venta al por mayor de enseres domésticos, incluso textiles.",N,N,Y
465,"Venta al por mayor de maquinaria, equipos y materiales.","Este grupo incluye la venta al por mayor de computadoras, equipo de las telecomunicaciones, maquinaria especializada para todas las clases de industrias y maquinaria de uso general.",N,N,Y
466,Venta al por mayor especializada.,"Este grupo incluye otras actividades de venta al por mayor especializadas no clasificadas en otros grupos de esta división. Este grupo incluye la venta al por mayor de productos intermedios, excepto agrícolas y no utilizados típicamente en el hogar.",N,N,Y
471,Venta al por menor en almacenes no especializados.,"Venta al por menor en almacenes no especializados 
Este grupo incluye la venta al por menor de una variedad de líneas de producto en la misma unidad (almacenes no especializados), tales como supermercados o tiendas por departamentos. 
",N,N,Y
472,"Venta al por menor de alimento, bebidas y tabaco en almacenes especializados.","Venta al por menor de alimento, bebidas y tabaco en almacenes especializadas. Este grupo incluye la venta al por menor en almacenes especializada en alimentos, bebidas o productos del tabaco. ",N,N,Y
474,"Venta al por menor de equipos ICT (Información, comunicación y telecomunicación) en almacenes especializados.","Venta al por menor de equipos de ICT (información, comunicación y telecomunicación) en almacenes especializados 
Este grupo incluye la venta al por menor de equipos de información y comunicación, tales como computadoras y equipo periférico, equipo de telecomunicaciones y consumidores de electricidad, por almacenes especializados
.",N,N,Y
475,"Venta al por menor de otro equipamiento para la casa, en almacenes especializados.","Este grupo incluye la venta al por menor de equipo doméstico, tales como textiles, ferretería, alfombras, electrodomésticos o muebles, en almacenes especializados.",N,N,Y
476,Venta al por menor de productos culturales y de entretención en almacenes especializados.,"Este grupo incluye la venta al por menor en almacenes especializados de artículos culturales y de recreación, tales como libros, periódicos, música y grabaciones de video, equipo deportivo, juegos y juguetes.",N,N,Y
477,Venta al por menor de otros artículos  en tiendas especializadas.,"Este grupo incluye la venta en almacenes especializados de una línea particular no incluida en otra parte de la clasificación, tales como ropa, calzado y artículos de cuero, artículos farmacéuticos y médicos, relojes, recuerdos, materiales de limpieza, armas, flores y mascotas y otros. También se incluye la venta al por menor de artículos usados en almacenes especializados.",N,N,Y
478,Venta al por menor en puestos de venta y mercados.,Este grupo incluye la venta al por menor de cualquier tipo de productos nuevos o usados en un puesto de venta móvil sea o no en la vía pública o en un mercado fijo.,N,N,Y
479,Comercio al por menor no realizado en almacenes puesto de ventas o mercado.,"Este grupo incluye actividades de venta al por menor en casas de venta por correo, a través de Internet, puerta a puerta, máquinas dispensadoras, etc.",N,N,Y
491,Transporte por vía férrea.,"Este grupo incluye el transporte de pasajeros y/o carga por vía férrea usando material rodante sobre líneas principales, extendidas por áreas geográficas extensas, u operadas en cortas distancias sobre líneas férreas locales. Este grupo excluye: actividades relacionadas tales como cambio de agujas y de vías, ver 5221; operación de infraestructura ferroviaria, ver 5221",N,N,Y
492,Otros tipos de transporte por vía terrestre.,Este grupo incluye todas las actividades de transporte terrestre además de transporte por vía férrea. ,N,N,Y
501,Transporte marítimo y de cabotaje.,"Este grupo incluye el transporte de pasajeros o carga en embarcaciones designadas para operar sobre mar o aguas costeras. También se incluye el transporte de pasajeros o carga en grandes lagos etc., cuando similares tipos de embarcaciones son usadas.",N,N,Y
502,Transporte por vía de navegación interior.,"Este grupo incluye el transporte de pasajeros o carga por vías interiores de navegación, involucrando embarcaciones que no son apropiadas para transporte marítimo.",N,N,Y
